Text,Label,Processed_Text,Tokenized
sap_access,new sap account,sapaccess,[29]
sap_access,I lost my access to SAP.,sapaccess,[29]
sap_access,helios access,sapaccess,[29]
sap_access,I want sap access,sapaccess,[29]
sap_access,PR4 environment access,sapaccess,[29]
sap_access,how to request sap authorization,sapaccess,[29]
sap_access,activate sap access,sapaccess,[29]
sap_access,"Hi Thea, I need to create a Helios account",sapaccess,[29]
sap_access,open my sap account,sapaccess,[29]
sap_access,Whom should I contact for SAP access?,sapaccess,[29]
sap_access,reactivate sap user id,sapaccess,[29]
sap_access,access to TQ4,sapaccess,[29]
sap_access,I want access to the PR4 system,sapaccess,[29]
sap_access,sap user id reactivated,sapaccess,[29]
sap_access,Problem entering C4CS,sapaccess,[29]
sap_access,get sap access,sapaccess,[29]
sap_access,How to get access for TD3 application for IT users,sapaccess,[29]
sap_access,I need a SAP ID,sapaccess,[29]
sap_access,I want to raise a ticket for sap access,sapaccess,[29]
sap_access,request sap account,sapaccess,[29]
sap_access,How do I get access to SAP,sapaccess,[29]
sap_access,I need to change sap access,sapaccess,[29]
sap_access,need sap workflow access,sapaccess,[29]
sap_access,SAP system access,sapaccess,[29]
sap_access,how can I get back my sap access,sapaccess,[29]
sap_access,access to sap,sapaccess,[29]
sap_access,How to get access for TQ3 application Business Users,sapaccess,[29]
sap_access,PR3 SAP access,sapaccess,[29]
sap_access,Where can I get access to SAP?,sapaccess,[29]
sap_access,How to get access for BP5 application?,sapaccess,[29]
sap_access,I am not authorized to download reports from Helios BP5,sapaccess,[29]
sap_access,"I am a user who needs PR3 SAP access, how can I get the access?",sapaccess,[29]
sap_access,activate sap access again,sapaccess,[29]
sap_access,need authorizations in sap,sapaccess,[29]
sap_access,Reactivate SAP PR3,sapaccess,[29]
sap_access,I cannot access CPQ,sapaccess,[29]
sap_access,Help to get access in SAP,sapaccess,[29]
sap_access,How to raise a request to TD1?,sapaccess,[29]
sap_access,"I am a key user, how can I set up users for TQ4 & QA2 systems",sapaccess,[29]
sap_access,retrieve sap access,sapaccess,[29]
sap_access,unable to get sap access,sapaccess,[29]
sap_access,I want to create a SAP account,sapaccess,[29]
sap_access,I need authorizations in SAP,sapaccess,[29]
sap_access,access to TD3,sapaccess,[29]
sap_access,How do I get my SAP userID reactivated?,sapaccess,[29]
sap_access,I want BP5 access,sapaccess,[29]
sap_access,Access to create a SAP account,sapaccess,[29]
sap_access,need SAP access,sapaccess,[29]
sap_access,I would like to apply for a SAP PR4 account,sapaccess,[29]
sap_access,How to apply for a Z account for SAP PR4,sapaccess,[29]
sap_access,Access to get a SAP ID,sapaccess,[29]
sap_access,can I have access to GEP,sapaccess,[29]
